it took 2.7 hours to brute force the answer
doing ~808 billion operations over 10 seconds

TimeStamp:265582829140591 Diff:820936344256 DC:15
TimeStamp:266402751954240 Diff:819824773120 DC:15
TimeStamp:267208595514711 Diff:805744018043 DC:15
TimeStamp:268017922085340 Diff:809265787893 DC:15
TimeStamp:268832105240809 Diff:814091534221 DC:15
TimeStamp:269645704099871 Diff:813469723394 DC:15
TimeStamp:270462201327109 Diff:816380817745 DC:15
TimeStamp:271279214339158 Diff:816963078565 DC:15
TimeStamp:272094901216460 Diff:815590426418 DC:15
TimeStamp:272910709305846 Diff:815698135234 DC:15
TimeStamp:273724975309766 Diff:814165580426 DC:15
TimeStamp:274526649326360 Diff:801566008480 DC:15
TimeStamp:275340252422472 Diff:813501216395 DC:15
TimeStamp:276154469390802 Diff:814081036554 DC:15
TimeStamp:276965743955085 Diff:811158728144 DC:15
TimeStamp:277776556416478 Diff:810696803150 DC:15
TimeStamp:278591251500742 Diff:814587049105 DC:15
TimeStamp:279391693267804 Diff:800359961947 DC:15
TimeStamp:280202419597483 Diff:810635867760 DC:15
TimeStamp:281015598713337 Diff:813075919947 DC:15
TimeStamp:281799834510591 Diff:784225023728 DC:15
TimeStamp:282607958003026 Diff:808019141406 DC:15
TimeStamp:283412573525172 Diff:804514711007 DC:15
TimeStamp:284218238354854 Diff:805603534293 DC:15
TimeStamp:285035716927346 Diff:817450903053 DC:15
TimeStamp:285824017705896 Diff:788265820183 DC:15
TimeStamp:286609656782257 Diff:785531200467 DC:15
TimeStamp:287410768253836 Diff:800937075803 DC:15
TimeStamp:288229455660900 Diff:818635031717 DC:15
TimeStamp:289051151751493 Diff:821592774486 DC:15
TimeStamp:289872578042969 Diff:821304435721 DC:15
TimeStamp:290683868580630 Diff:811171000564 DC:15
TimeStamp:291500971402513 Diff:817004924993 DC:15
TimeStamp:292279684672670 Diff:778610884398 DC:15
TimeStamp:293053385844429 Diff:773631670917 DC:15
TimeStamp:293829379576364 Diff:775956171839 DC:15
TimeStamp:294628870215851 Diff:799433754837 DC:15
TimeStamp:295436632563179 Diff:807642888962 DC:15
TimeStamp:296217977660416 Diff:781265923901 DC:15
TimeStamp:296987911193826 Diff:769856628248 DC:15
TimeStamp:297773281135175 Diff:785251829824 DC:15
TimeStamp:298563966001393 Diff:790613687985 DC:15
TimeStamp:299350421929308 Diff:786412359622 DC:15
TimeStamp:300134491334904 Diff:784009446831 DC:15
TimeStamp:300917388712370 Diff:782839814888 DC:15
TimeStamp:301713284613395 Diff:795869243670 DC:15
TimeStamp:302529456984507 Diff:816033326757 DC:15
TimeStamp:303318561760423 Diff:789000552299 DC:15
TimeStamp:304117222150864 Diff:798602330235 DC:15
TimeStamp:304940595697365 Diff:823323882265 DC:15
TimeStamp:305753819100909 Diff:813124331098 DC:15
TimeStamp:306567996427880 Diff:814139177294 DC:15
TimeStamp:307380364803749 Diff:812319337875 DC:15
TimeStamp:308153059867251 Diff:772613987400 DC:15
TimeStamp:308955720737264 Diff:802609650389 DC:15
TimeStamp:309767253104103 Diff:811424430845 DC:15
TimeStamp:310555118787501 Diff:787770744630 DC:15
TimeStamp:311371070171514 Diff:815885447702 DC:15
TimeStamp:312189160864910 Diff:817975430611 DC:15
TimeStamp:313010484338508 Diff:821213793502 DC:15
TimeStamp:313836044030322 Diff:825463276389 DC:15
TimeStamp:314658962539890 Diff:822809047635 DC:15
TimeStamp:315479327483997 Diff:820315041274 DC:15
TimeStamp:316300670034537 Diff:821246668803 DC:15
TimeStamp:317114855588597 Diff:814113322274 DC:15
TimeStamp:317931038257844 Diff:816133280269 DC:15
TimeStamp:318752984481031 Diff:821823030207 DC:15
TimeStamp:319573449707998 Diff:820454216647 DC:15
TimeStamp:320390822600650 Diff:817262891021 DC:15
TimeStamp:321209484820405 Diff:818550734255 DC:15
TimeStamp:322028922050695 Diff:819331336494 DC:15
TimeStamp:322846393205645 Diff:817371559634 DC:15
TimeStamp:323665613038609 Diff:819117358858 DC:15
TimeStamp:324480429900498 Diff:814719977684 DC:15
TimeStamp:325297996567570 Diff:817478674662 DC:15
TimeStamp:326122186417513 Diff:824097419148 DC:15
TimeStamp:326937678678995 Diff:815310846026 DC:15
TimeStamp:327750483202968 Diff:812755936729 DC:15
TimeStamp:328566970420551 Diff:816408002177 DC:15
TimeStamp:329383908128502 Diff:816817669620 DC:15
TimeStamp:330202600965000 Diff:818569911564 DC:15
TimeStamp:331024809970028 Diff:822125318182 DC:15
TimeStamp:331841223590353 Diff:816305160860 DC:15
TimeStamp:332654674951394 Diff:813342585450 DC:15
TimeStamp:333469301078721 Diff:814385251936 DC:15
TimeStamp:334288226369398 Diff:818903969601 DC:15
TimeStamp:335099831168156 Diff:811545628505 DC:15
TimeStamp:335917968994977 Diff:817994741342 DC:15
TimeStamp:336735375717919 Diff:817287705710 DC:15
TimeStamp:337549924176213 Diff:814437846047 DC:15
TimeStamp:338368033381010 Diff:818011986436 DC:15
TimeStamp:339184076213784 Diff:815959828664 DC:15
TimeStamp:339995413616223 Diff:811218011385 DC:15
TimeStamp:340811220055263 Diff:815745003017 DC:15
TimeStamp:341630589941700 Diff:819255190996 DC:15
TimeStamp:342445259230443 Diff:814592370359 DC:15
TimeStamp:343264147721289 Diff:818784630834 DC:15
TimeStamp:344078989683943 Diff:814696735211 DC:15
TimeStamp:344890663276166 Diff:811654301325 DC:15
TimeStamp:345710440328684 Diff:819669749377 DC:15
TimeStamp:346530848791201 Diff:820337272264 DC:15
TimeStamp:347343985688608 Diff:813017243115 DC:15
TimeStamp:348163252920639 Diff:819154251243 DC:15
TimeStamp:348948496736128 Diff:785103622623 DC:15
TimeStamp:349766641983496 Diff:818075591468 DC:15
TimeStamp:350578315705535 Diff:811623986284 DC:15
TimeStamp:351376112962614 Diff:797692932494 DC:15
TimeStamp:352166565545337 Diff:790395537005 DC:15
TimeStamp:352944138899996 Diff:777516329375 DC:15
TimeStamp:353758897160779 Diff:814627382215 DC:15
TimeStamp:354577062066256 Diff:818052095974 DC:15
TimeStamp:355394268672425 Diff:817156263404 DC:15
TimeStamp:356197639384139 Diff:803272903772 DC:15
TimeStamp:357015414032670 Diff:817672689482 DC:15
TimeStamp:357820025183743 Diff:804501035853 DC:15
TimeStamp:358627118681176 Diff:806983529458 DC:15
TimeStamp:359433276967317 Diff:806108865911 DC:15
TimeStamp:360217776357762 Diff:784405743827 DC:15
TimeStamp:361015701440329 Diff:797862398267 DC:15
TimeStamp:361809792721058 Diff:794040549117 DC:15
TimeStamp:362598591772481 Diff:788737961576 DC:15
